ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Tipo de casa,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Cantidad de pisos,Tipo de propiedad,OrientaciÃ³n,Tipo de departamento,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,Disposición,Acceso,Forma del terreno,DisposiciÃ³n del lote,Metros de frente,Metros de fondo,Disposición del lote,DisposiciÃ³n
1380479335,morelos,departamentos,https://departamento.metroscubicos.com/MLM-1380479335-departamentos-de-lujo-con-amenidades-_JM,"$3,482,533",Cuajimalpa De Morelos,Cuajimalpa,60.95 m²,60.95 m²,,1,1,2,1,,,0 años,,,,,31,,,,,,,,,,,,,,
1358580099,morelos,hermoso,https://departamento.metroscubicos.com/MLM-1358580099-hermoso-departamento-a-la-venta-o-renta-en-secretaria-de-mar-_JM,"$11,000,000",Cuajimalpa De Morelos,Lomas Del Chamizal,325 m²,325 m²,7,3,3,3,,,,2001 años,,,,,,,,,,,,,,,,,,,
1301534813,morelos,departamento,https://departamento.metroscubicos.com/MLM-1301534813-departamento-en-venta-en-origina-santa-fe-_JM,"$9,100,000",Cuajimalpa De Morelos,Contadero,,117 m²,,2,2,2,,,,0 años,,,,,,,,,,,,,,,,,,,
1301542412,morelos,departamento,https://departamento.metroscubicos.com/MLM-1301542412-departamento-en-venta-en-origina-santa-fe-_JM,"$9,500,000",Cuajimalpa De Morelos,Contadero,,119 m²,,2,2,2,,,,0 años,,,,,,,,,,,,,,,,,,,
1301537463,morelos,departamento,https://departamento.metroscubicos.com/MLM-1301537463-departamento-en-venta-en-origina-santa-fe-_JM,"$10,900,000",Cuajimalpa De Morelos,Contadero,,142 m²,,3,3,2,,,,0 años,,,,,,,,,,,,,,,,,,,
1301535585,morelos,departamento,https://departamento.metroscubicos.com/MLM-1301535585-departamento-en-venta-en-origina-santa-fe-_JM,"$10,300,000",Cuajimalpa De Morelos,Contadero,,131 m²,,2,2,2,,,,0 años,,,,,,,,,,,,,,,,,,,
1301541310,morelos,departamento,https://departamento.metroscubicos.com/MLM-1301541310-departamento-en-venta-en-origina-santa-fe-_JM,"$9,200,000",Cuajimalpa De Morelos,Contadero,,123 m²,,2,2,2,,,,0 años,,,,,,,,,,,,,,,,,,,
941268842,morelos,departamento,https://departamento.metroscubicos.com/MLM-941268842-departamento-en-venta-en-bosques-privada-del-bosque-_JM,"$15,700,000",Cuajimalpa De Morelos,Bosques de las Lomas,290 m²,290 m²,7,3,3,3,,,,18 años,,,,,,,,,,,,,,,,,,,
870968030,morelos,venta,https://departamento.metroscubicos.com/MLM-870968030-venta-departamento-cuajimalpa-_JM,"$5,450,000",Cuajimalpa De Morelos,Contadero,120 m²,120 m²,4,2,2,2,,,,0 años,,,,,,,,,,,,,,,,,,,
1421946942,morelos,04,https://departamento.metroscubicos.com/MLM-1421946942-04-la-oportunidad-que-buscabas-para-adquirir-hermoso-departamento-de-remate-bancario-con-un-precio-muy-por-debajo-del-valor-comercial-_JM,"$800,000",Cuajimalpa De Morelos,Santa Fe Cuajimalpa,220 m²,220 m²,,3,3,3,,,,,348 MXN,,,,,,,,,,,,,,,,,,
