ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Antigüedad,Cantidad de pisos,Orientación,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Bodegas,Tipo de casa,Tipo de propiedad,Departamentos por piso,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
1379498480,zacatecas,casa,https://casa.metroscubicos.com/MLM-1379498480-casa-en-venta-en-cerro-del-papanton-los-pirules-guadalupe-zacatecas-rb-_JM,"$424,000",Guadalupe,Los Pirules,120 m²,120 m²,,3,2,2,,,,,,,,,,,,,,,,,,
1413350745,zacatecas,casas,https://casa.metroscubicos.com/MLM-1413350745-casas-nuevas-en-venta-villas-universidad-_JM,"$2,080,000",Zacatecas,Villas Universidad,120 m²,90 m²,2,3,3,2,0 años,2,,,,,,,,,,,,,,,,
1379517527,zacatecas,hermosa,https://casa.metroscubicos.com/MLM-1379517527-hermosa-en-venta-en-privada-lucca-la-toscana-guadalupe-zacatecas-rb-_JM,"$2,921,600",Guadalupe,La Toscana,120 m²,120 m²,,3,2,2,,,,,,,,,,,,,,,,,,
1406263916,zacatecas,casa,https://casa.metroscubicos.com/MLM-1406263916-casa-en-las-arboledas-guadalupe-zacatecas-_JM,"$2,400,000",Guadalupe,Las Arboledas,150 m²,240 m²,,4,3,1,,,,,,,,,,,,,,,,,,
1386081938,zacatecas,rb,https://casa.metroscubicos.com/MLM-1386081938-rb-casa-en-venta-en-privada-de-pisa-la-toscana-guadalupe-zacatecas-_JM,"$2,899,383",Guadalupe,La Toscana,150 m²,150 m²,,3,2,2,,,,,,,,,,,,,,,,,,
1386070025,zacatecas,rb,https://casa.metroscubicos.com/MLM-1386070025-rb-casa-en-venta-en-convento-de-san-agustin-villas-del-monasterio-guadalupe-zacatecas-_JM,"$518,811",Guadalupe,Villas Del Monasterio,120 m²,120 m²,,3,2,2,,,,,,,,,,,,,,,,,,
1406251244,zacatecas,casa,https://casa.metroscubicos.com/MLM-1406251244-casa-en-privada-alta-vista-guadalupe-zacatecas-_JM,"$2,650,000",Guadalupe,Otra Colonia,150 m²,200 m²,,3,3,2,,2,,,,,,,,,,,,,,,,
1411428999,zacatecas,casa,https://casa.metroscubicos.com/MLM-1411428999-casa-en-venta-en-privada-en-el-centro-de-zacatecas-_JM,"$4,200,000",Zacatecas,Sierra De Alica,166 m²,240 m²,4,3,3,1,,2,,,,,,,,,,,,,,,,
1420907960,zacatecas,rb,https://casa.metroscubicos.com/MLM-1420907960-rb-vr-venta-de-casa-en-montebello-zacatecas-_JM,"$1,086,546",Zacatecas,Zacatecas Centro,110 m²,160 m²,,3,2,1,,2,,,,,,,,,,,,,,,,
1415023651,zacatecas,bonita,https://casa.metroscubicos.com/MLM-1415023651-bonita-casa-en-privada-paseo-del-convento-zacatecas-unica-remate-aefp-_JM,"$486,280",Guadalupe,Margaritas,79 m²,84 m²,,2,1,1,13 años,2,,,,,,,,,,,,,,,,
1403085050,zacatecas,hurban,https://casa.metroscubicos.com/MLM-1403085050-hurban-vende-casa-en-coto-por-la-salida-a-zacatecas-_JM,"$1,422,000",JesÃºs Maria,La Guayana (rancho Seco),102 mÂ²,101 mÂ²,5,,,,,,,,3,1,,0 aÃ±os,,,,,,,,,,
