ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Orientación,Antigüedad,Ambientes,Bodegas,Cantidad de pisos,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,Disposición del lote,DisposiciÃ³n del lote
1400119811,san-luis-potosí,venta,https://departamento.metroscubicos.com/MLM-1400119811-venta-de-departamentos-en-la-foret-en-zona-de-tequis-en-san-luis-muy-cerca-de-calle-zapata-y-pedro-moreno-_JM,"$1,822,637",San Luis Potosí,Tequisquiapan,119 m²,,2,1,,,,,,,,,,,,,,,,,,,,,,,
1397242304,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1397242304-departamento-en-venta-villa-magna-_JM,"$2,500,000",San Luis Potosí,Villa Magna,,89 m²,2,2,,,0 años,,,,,,,,,,,,,,,,,,,,
1391974589,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1391974589-departamento-en-venta-fracc-lomas-del-pedregal-_JM,"$3,850,000",San Luis PotosÃ­,Lomas Del Pedregal,,168 mÂ²,,,,,,,,,,3,2,,0 aÃ±os,,,,,,,,,,,,
954221410,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-954221410-departamento-en-venta-virreyes-_JM,"$2,050,000",San Luis Potosí,Virreyes,,126 m²,3,2,,,0 años,,,,,,,,,,,,,,,,,,,,
927104806,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-927104806-departamento-a-estrenar-lomas-3ra-seccion-_JM,"$3,150,000",San Luis Potosí,Lomas 3a Secc,135 m²,135 m²,2,2,1,,0 años,4,,,,,,,,,,,,,,,,,,,
1392902861,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1392902861-departamento-en-venta-en-av-san-luis-potosiroma-norteru-22-3742-_JM,"$5,295,004",Cuauhtémoc,Roma Norte,135 m²,135 m²,2,2,2,,55 años,,,,,,,,,,,,,,,,,,,,
1407975406,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1407975406-departamento-en-venta-fracc-tequisquiapan-_JM,"$1,807,450",San Luis Potosí,Tequisquiapan,,119 m²,2,2,,,2 años,,,,,,,,,,,,,,,,,,,,
1401496353,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1401496353-departamento-en-venta-_JM,"$2,425,000",San Luis Potosí,Burócrata,108 m²,,2,2,2,,0 años,,,3,,,,,,,,,,,,,,,,,
1391899538,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1391899538-departamento-en-venta-avenida-_JM,"$2,047,000",San Luis Potosí,Avenida,,126 m²,3,2,,,0 años,,,,,,,,,,,,,,,,,,,,
1391886713,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1391886713-departamento-en-venta-lomas-de-san-luis-4ta-secc-_JM,"$4,500,000",San Luis Potosí,Lomas De San Luis Sur,,183 m²,3,3,,,0 años,,,,,,,,,,,,,,,,,,,,
1391848258,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1391848258-departamento-en-venta-lomas-de-san-luis-3ra-secc-_JM,"$6,900,000",San Luis Potosí,Lomas De San Luis Sur,,332 m²,3,4,,,0 años,,,,,,,,,,,,,,,,,,,,
1390378859,san-luis-potosí,venta,https://departamento.metroscubicos.com/MLM-1390378859-venta-de-departamento-en-morales-campestre-club-de-golf-en-san-luis-potosi-_JM,"$2,819,414",San Luis Potosí,San Luis Potosí,,142 m²,3,2,,,,,,,,,,,,,,,,,,,,,,,
1362315888,san-luis-potosí,a,https://departamento.metroscubicos.com/MLM-1362315888-a-estrenar-departamento-en-chapultepec-_JM,"$4,300,000",San Luis PotosÃ­,Alpes,190 mÂ²,190 mÂ²,,,2,,,6,,,,3,2,,0 aÃ±os,,,,,,,,,,,,
1341862975,san-luis-potosí,venta,https://departamento.metroscubicos.com/MLM-1341862975-venta-de-departamento-en-torre-sequoia-_JM,"$5,150,000",San Luis Potosí,Lomas Del Pedregal,185 m²,185 m²,2,2,2,,0 años,5,,,,,,,,,,,,,,,,,,,
1332693687,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1332693687-departamento-en-preventa-zona-villa-magna-_JM,"$3,000,000",San Luis Potosí,Villa Magna,118 m²,118 m²,3,2,2,,,5,,,,,,,,,,,,,,,,,,,
1302385655,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1302385655-departamento-en-venta-garita-de-jalisco-_JM,"$2,783,575",San Luis Potosí,Garita De Jalisco,,139 m²,3,3,,,1 años,,,,,,,,,,,,,,,,,,,,
835035065,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-835035065-departamento-san-luis-potosi-_JM,"$3,300,000",San Luis Potosí,San Luis Potosí,115 m²,115 m²,2,2,1,,0 años,,,,0 MXN,,,,,,,,,,,,,,,,
1419187093,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1419187093-departamento-en-venta-lomas-3a-secc-_JM,"$6,900,000",San Luis Potosí,Lomas 3a Secc,,394 m²,3,4,,,2 años,,,,,,,,,,,,,,,,,,,,
1409429566,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1409429566-departamento-en-venta-las-aguilas-1ra-secc-_JM,"$2,000,000",San Luis Potosí,Las Aguilas 1a Secc.,,100 m²,3,3,,,6 años,,,,,,,,,,,,,,,,,,,,
