ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote
1408943463,chiapas,fraccionamiento,https://terreno.metroscubicos.com/MLM-1408943463-fraccionamiento-villa-los-manantiales-berriozabal--_JM,$65,Berriozabal,Lindos Aires,0.02 ha,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1387031297,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1387031297-terreno-de-4100-m2-carretera-san-cristobal-a-zacualpa-km-7-_JM,"$2,000,000",San CristÃ³bal De Las Casas,Zacualpan De Ecatepec,4100 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1314234547,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1314234547-terreno-en-venta-en-el-fraccionamiento-club-campestre-_JM,"$4,050,000",Tuxtla GutiÃ©rrez,Club de Golf Campestre,1500 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1314311626,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1314311626-terreno-en-venta-de-117973-m2-en-plan-de-ayala-norte-_JM,"$1,800,000",Tuxtla GutiÃ©rrez,Plan De Ayala,1179 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
941626605,chiapas,se,https://terreno.metroscubicos.com/MLM-941626605-se-vende-terreno-en-fraccionamiento-privado-_JM,"$680,000",Tuxtla GutiÃ©rrez,Club de Golf Campestre,160 mÂ²,,,,,,,,,,,,,,,,,,Ripio,,,,,,,
1401709280,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1401709280-terreno-en-venta-pedregal-san-antonio-_JM,"$650,000",Tuxtla GutiÃ©rrez,Pedregal San Antonio,128 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1341459091,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1341459091-terreno-en-venta-de-5000-m2-_JM,"$8,500,000",San CristÃ³bal De Las Casas,La Quinta San MartÃ­n,5000 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1403061225,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1403061225-terreno-rustico-en-san-jose-teran-en-venta-_JM,"$242,000",Tuxtla GutiÃ©rrez,San JosÃ© TerÃ¡n,345 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1392493932,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1392493932-terreno-industrial-en-venta-cerro-hueco-_JM,"$35,000,000",Tuxtla GutiÃ©rrez,Rivera Cerro Hueco,10000 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1391241802,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1391241802-terreno-en-venta-lomas-de-mactumatza-_JM,"$750,000",Tuxtla GutiÃ©rrez,Mactumactza,250 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1390371430,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1390371430-terreno-en-venta-en-huitepec-las-palmas-a-10-min-de-san-cristobal-de-las-casas-_JM,"$650,000",San CristÃ³bal De Las Casas,Bosques de Huitepec,310 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1339613331,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1339613331-terreno-en-venta-fracc-cumbres-_JM,"$3,000,000",Tuxtla GutiÃ©rrez,Fraccionamiento Residencial Bonanza,450 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1319507887,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1319507887-terreno-de-208-m2-en-los-volcanes-_JM,"$850,000",San CristÃ³bal De Las Casas,14 De Septiembre,208 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1319559790,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1319559790-terreno-de-209-m2-en-colonia-los-volcanes-_JM,"$850,000",San CristÃ³bal De Las Casas,14 De Septiembre,208 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1314221488,chiapas,se,https://terreno.metroscubicos.com/MLM-1314221488-se-vende-3-hectareas-de-terreno-frente-al-convento-el-buen-p-_JM,"$18,346,800",Tuxtla GutiÃ©rrez,El Cocal,30578 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
950117429,chiapas,terreno,https://terreno.metroscubicos.com/MLM-950117429-terreno-de-515m2-en-venta-escriturado-berriozabal-_JM,"$470,000",Berriozabal,Santa Cecilia,515 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
934269795,chiapas,terreno,https://terreno.metroscubicos.com/MLM-934269795-terreno-tuxtla-gutierrez-_JM,"$1,750,000",Chiapas,Tuxtla GutiÃ©rrez,750 mÂ²,,,,,,,0 MXN,,,,,,,,,,,Otro,,,,,,,
1390671257,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1390671257-terreno-en-venta-berriozabal-centro-_JM,"$54,000,000",Berriozabal,Berriozabal Centro,270000 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1390410503,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1390410503-terreno-en-venta-en-el-fraccionamiento-club-campestre-_JM,"$2,000,000",Tuxtla GutiÃ©rrez,Club Campestre 2a. Secc.,750 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1341471940,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1341471940-terreno-en-venta-barrio-de-fatima-_JM,"$2,599,000",San CristÃ³bal De Las Casas,FÃ¡tima,375 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1336031134,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1336031134-terreno-en-venta-cerro-hueco-_JM,"$3,000,000",Tuxtla GutiÃ©rrez,Rivera Cerro Hueco,728 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
939285284,chiapas,terreno,https://terreno.metroscubicos.com/MLM-939285284-terreno-habitacional-tuxtla-gutierrez-_JM,"$7,000,000",Tuxtla GutiÃ©rrez,Linda Vista Shanka,8347 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
936381778,chiapas,terreno,https://terreno.metroscubicos.com/MLM-936381778-terreno-comercial-en-venta-copoya-_JM,"$15,000,000",Tuxtla GutiÃ©rrez,Copoya,5000 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
922366808,chiapas,terreno,https://terreno.metroscubicos.com/MLM-922366808-terreno-en-venta-plan-de-ayala-ampliacion-norte-_JM,"$2,400,000",Tuxtla GutiÃ©rrez,Plan De Ayala,3000 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
922366721,chiapas,terreno,https://terreno.metroscubicos.com/MLM-922366721-terreno-en-venta-las-terrazas-_JM,"$4,000,000",Tuxtla GutiÃ©rrez,Las Terrazas,901 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1416226486,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1416226486-terreno-en-venta-san-nicolas-san-cristobal-de-las-casas-chiapas-_JM,"$1,350,000",San CristÃ³bal De Las Casas,San NicolÃ¡s,450 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1416245635,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1416245635-terreno-en-venta-urbanizado-en-fatima-san-cristobal-de-las-casas-chiapas-_JM,"$10,900,000",San CristÃ³bal De Las Casas,FÃ¡tima,4000 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1408070953,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1408070953-terreno-en-venta-fracc-itaca-_JM,"$456,000",Tuxtla Gutiérrez,Fracc. La Lomita,120 m²,,,,,,,,,,,,,,,,,,-,,,,,,,
1400446202,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1400446202-terreno-en-venta-laguitos-_JM,"$895,000",Tuxtla Gutiérrez,Borges Laguitos,144 m²,,,,,,,,,,,,,,,,,,-,,,,,,,
1398401399,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1398401399-terreno-en-venta-san-joaquin-_JM,"$120,000",Chiapa De Corzo,Fraccionamiento Conquista Obrera,200 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1390423502,chiapas,oportunidad,https://terreno.metroscubicos.com/MLM-1390423502-oportunidad-de-inversion-296335-m2-de-terreno-en-venta-en-ocozocoautla-_JM,"$2,100,000",Ocozocoautla De Espinosa,Alfonso Moguel,2963 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1390378022,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1390378022-terreno-en-venta-en-fraccionamiento-privado-itaca-ubicada-a-tan-solo-7-minutos-de-plazas-comerciales-_JM,"$600,000",Tuxtla Gutiérrez,Ampliación Terán,120 m²,,,,,,,,,,,,,,,,,,-,,,,,,,
1314208538,chiapas,oportunidad,https://terreno.metroscubicos.com/MLM-1314208538-oportunidad-de-inversion-296335-m2-de-terreno-en-venta-en-_JM,"$2,100,000",Ocozocoautla De Espinosa,San Miguel,2963 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1314195569,chiapas,lotes,https://terreno.metroscubicos.com/MLM-1314195569-lotes-residenciales-en-venta-fracc-country-valley-_JM,"$1,470,000",Tuxtla GutiÃ©rrez,Campestre Arenal,300 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
922366720,chiapas,terreno,https://terreno.metroscubicos.com/MLM-922366720-terreno-en-venta-mactumatza-_JM,"$36,000,000",Tuxtla GutiÃ©rrez,Mactumactza,8350 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1416252723,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1416252723-terreno-en-la-merced-san-cristobal-de-las-casas-chiapas-_JM,"$2,997,000",San CristÃ³bal De Las Casas,La Merced,323 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1415628081,chiapas,se,https://terreno.metroscubicos.com/MLM-1415628081-se-vende-3-hectareas-de-terreno-frente-al-convento-el-buen-pastor-_JM,"$18,346,800",Tuxtla GutiÃ©rrez,AmpliaciÃ³n Cocal,30578 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1390397475,chiapas,lotes,https://terreno.metroscubicos.com/MLM-1390397475-lotes-residenciales-en-venta-fraccionamiento-country-valley-exclusividad-y-plusvalia-_JM,"$1,470,000",Tuxtla GutiÃ©rrez,Campestre Arenal,300 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1390403974,chiapas,se,https://terreno.metroscubicos.com/MLM-1390403974-se-vende-terreno-en-fraccionamiento-la-gloria-huitepec-san-cristobal-de-las-casas-_JM,"$1,200,000",San CristÃ³bal De Las Casas,Lomas De Huitepec,114 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1314202005,chiapas,se,https://terreno.metroscubicos.com/MLM-1314202005-se-vende-terreno-en-fraccionamiento-la-gloria-huitepec-san-_JM,"$1,300,000",San CristÃ³bal De Las Casas,Lomas De Huitepec,162 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
